session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
5ff18970b0feb85e042feff9,55b9a9b0fdf99b6906d2aba4,APPROVED,2021-01-03 09:08:04.884000,2021-01-03 09:27:00.780000,1135.896,65,2417,1,100,2021-01-05 23:06:23.852000,8256C4AC,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Male,No
5ff18983ad8fba5e5f7df6cf,5c507bb6f45b26000122f2ce,APPROVED,2021-01-03 09:08:23.917000,2021-01-03 09:18:03.990000,580.073,67,571,0,100,2021-01-05 23:06:38.647000,8256C4AC,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No
5ff18984e7a1d258fd336365,5f483710cb08012f80d41359,APPROVED,2021-01-03 09:08:20.506000,2021-01-03 09:20:39.647000,739.141,30,271,1,100,2021-01-05 23:06:44.814000,NOCODE,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",DATA EXPIRED,United States,Male,No
5ff189a26bfb6357b7ac76c5,5fae8202969270016378d5f9,APPROVED,2021-01-03 09:08:50.154000,2021-01-03 09:18:49.214000,599.06,51,68,1,100,2021-01-05 23:06:49.686000,8256C4AC,Canada,Netherlands,Full-Time,DATA EXPIRED,United States,Female,No
5ff189c0878eaa5da1458ecc,5fc5accb5d5068128513bf3e,RETURNED,2021-01-03 09:09:29.468000,,657553.603339,35,52,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ff189d62178d15d60b4ab7c,5e44d46ad8726835dd8c2325,APPROVED,2021-01-03 09:09:44.716000,2021-01-03 09:22:55.753000,791.037,40,124,2,97,2021-01-05 23:06:53.806000,NOCODE,United States,United States,Full-Time,English,United States,Male,No
5ff189f3c5f99b5dcf0dab35,5d8270af4104eb001941224c,APPROVED,2021-01-03 09:10:11.364000,2021-01-03 09:56:17.910000,2766.546,38,569,0,100,2021-01-05 23:06:58.465000,8256C4AC,United States,United States,Full-Time,English,United States,Female,No
5ff189f513597c0e2afd1bbe,5eaf76ae6665cc671414ab73,RETURNED,2021-01-03 09:10:16.169000,,657507.323183,32,458,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ff18a07fd725a5da3bcfcb8,5a6d67dbe70ca900017adb9c,RETURNED,2021-01-03 09:10:42.852000,,657480.64027,40,1176,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ff18a0b5ce3ae0e28784f17,5dc0ac2c441a2105cbb3bb0f,APPROVED,2021-01-03 09:10:42.912000,2021-01-03 09:20:41.974000,599.062,33,710,1,100,2021-01-05 23:07:04.812000,8256C4AC,United States,United States,Unemployed (and job seeking),English,United States,Male,No
5ff18a0fbd6f235e46bf4b2b,5dd3c6ff5c56383b4a789c86,APPROVED,2021-01-03 09:10:45.347000,2021-01-03 09:19:27.827000,522.48,56,528,2,100,2021-01-05 23:07:09.448000,8256C4AC,United States,United States,Full-Time,English,United States,Female,No
5ff18a10e66d7f5d734c5cdc,5f91b58566580905f941ab91,APPROVED,2021-01-03 09:10:53.898000,2021-01-03 09:32:16.173000,1282.275,30,65,0,100,2021-01-05 23:07:16.196000,8256C4AC,United States,United States,Full-Time,DATA EXPIRED,United States,Male,No
5ff18a1e6d65c55decd31bc4,58a50aebbb9e0f0001aca2a7,APPROVED,2021-01-03 09:10:56.506000,2021-01-03 09:18:02.445000,425.939,42,1588,2,100,2021-01-05 23:07:20.783000,8256C4AC,United States,United States,Part-Time,English,United States,Male,No
5ff18a20e1442258d06e82f4,5f88877885e51d02acd71b12,APPROVED,2021-01-03 09:11:05.460000,2021-01-03 09:30:53.816000,1188.356,31,145,0,100,2021-01-05 23:07:33.154000,8256C4AC,United States,United States,Full-Time,DATA EXPIRED,United States,Female,No
5ff18a24173bfb0e41a37025,576098a09ef02e0007117930,APPROVED,2021-01-03 09:11:06.262000,2021-01-03 09:43:17.589000,1931.327,32,151,0,100,2021-01-05 23:07:38.786000,8256C4AC,United States,United States,Unemployed (and job seeking),English,United States,Female,No
5ff18aacb1111657950fd7d6,5cf8a7e64af157001564498a,RETURNED,2021-01-03 09:13:22.924000,,657322.041456,30,492,3,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ff18ab1f4e2335c8187e9ba,5fb142fa3d818059f4cd5497,APPROVED,2021-01-03 09:15:09.689000,2021-01-03 09:24:49.359000,579.67,32,116,0,100,2021-01-05 23:07:43.753000,8256C4AC,United States,United States,Part-Time,DATA EXPIRED,United States,Male,No
